Type;POS;Headword;Rank;Freq_Tar;Freq_Ref;Range_Tar;Range_Ref;NormFreq_Tar;NormFreq_Ref;NormRange_Tar;NormRange_Ref;Keyness (Likelihood);Keyness (Effect);BOP Term;Further remark;;;
results;None;None;188;403;0;28;0;268.189;0.000;0.737;0.000;18.559;0.001;n;;;;
revisions;None;None;168;470;0;21;0;312.777;0.000;0.553;0.000;21.645;0.001;n;"A kind of statistical operation. See ~ of data; ~policy";;;
rights;None;None;208;339;0;23;0;225.599;0.000;0.605;0.000;15.611;0.000;n;;;;
sale;None;None;191;388;0;20;0;258.207;0.000;0.526;0.000;17.868;0.001;n;;;;
sales;None;None;146;541;0;24;0;360.026;0.000;0.632;0.000;24.915;0.001;n;;;;
section;None;None;148;538;0;25;0;358.030;0.000;0.658;0.000;24.777;0.001;n;;;;
sector;None;None;29;1843;0;32;0;1226.484;0.000;0.842;0.000;84.914;0.002;y;;;;
sectors;None;None;85;896;0;22;0;596.272;0.000;0.579;0.000;41.269;0.001;y;;;;
securities;None;None;28;1901;0;28;0;1265.082;0.000;0.737;0.000;87.588;0.003;y;;;;
security;None;None;81;918;0;24;0;610.913;0.000;0.632;0.000;42.283;0.001;y;;;;
series;None;None;107;747;0;30;0;497.115;0.000;0.789;0.000;34.405;0.001;n;;;;
service;None;None;46;1384;0;30;0;921.028;0.000;0.789;0.000;63.756;0.002;y;;;;
shares;None;None;111;738;0;24;0;491.126;0.000;0.632;0.000;33.990;0.001;n;;;;
side;None;None;220;310;0;20;0;206.300;0.000;0.526;0.000;14.276;0.000;n;;;;
source;None;None;101;798;0;25;0;531.055;0.000;0.658;0.000;36.754;0.001;n;;;;
sources;None;None;68;1041;0;31;0;692.767;0.000;0.816;0.000;47.950;0.001;n;;;;
standards;None;None;212;336;0;31;0;223.602;0.000;0.816;0.000;15.473;0.000;n;;;;
states;None;None;157;513;0;26;0;341.393;0.000;0.684;0.000;23.625;0.001;n;;;;
stock;None;None;124;649;0;28;0;431.898;0.000;0.737;0.000;29.890;0.001;n;;;;
stocks;None;None;143;547;0;26;0;364.019;0.000;0.684;0.000;25.192;0.001;n;;;;
sum;None;None;208;339;0;22;0;225.599;0.000;0.579;0.000;15.611;0.000;n;;;;
supply;None;None;118;673;0;21;0;447.870;0.000;0.553;0.000;30.996;0.001;n;A kind of operation;;;
survey;None;None;48;1357;0;29;0;903.060;0.000;0.763;0.000;62.512;0.002;y;;;;
surveys;None;None;71;995;0;26;0;662.155;0.000;0.684;0.000;45.830;0.001;y;;;;
system;None;None;69;1024;0;31;0;681.454;0.000;0.816;0.000;47.167;0.001;n;;;;
table;None;None;40;1473;0;28;0;980.256;0.000;0.737;0.000;67.858;0.002;n;;;;
tables;None;None;154;523;0;25;0;348.047;0.000;0.658;0.000;24.086;0.001;n;;;;
tax;None;None;136;557;0;20;0;370.674;0.000;0.526;0.000;25.652;0.001;n;;;;
term;None;None;70;1013;0;29;0;674.134;0.000;0.763;0.000;46.660;0.001;n;;;;
terms;None;None;115;719;0;25;0;478.482;0.000;0.658;0.000;33.115;0.001;n;;;;
time;None;None;26;1939;0;32;0;1290.371;0.000;0.842;0.000;89.339;0.003;n;;;;
trade;None;None;22;2122;0;33;0;1412.154;0.000;0.868;0.000;97.777;0.003;n;;;;
transaction;None;None;65;1051;0;26;0;699.422;0.000;0.684;0.000;48.411;0.001;y;;;;
transfers;None;None;36;1623;0;22;0;1080.078;0.000;0.579;0.000;74.772;0.002;y;;;;
transport;None;None;97;816;0;20;0;543.034;0.000;0.526;0.000;37.583;0.001;y;;;;
treatment;None;None;121;668;0;26;0;444.542;0.000;0.684;0.000;30.765;0.001;n;;;;
type;None;None;110;739;0;29;0;491.792;0.000;0.763;0.000;34.036;0.001;n;;;;
types;None;None;129;623;0;26;0;414.596;0.000;0.684;0.000;28.692;0.001;n;;;;
united;None;None;155;518;0;21;0;344.720;0.000;0.553;0.000;23.856;0.001;n;;;;
units;None;None;24;2064;0;27;0;1373.556;0.000;0.711;0.000;95.103;0.003;n;;;;
use;None;None;50;1322;0;27;0;879.768;0.000;0.711;0.000;60.899;0.002;n;;;;
valuation;None;None;103;790;0;22;0;525.731;0.000;0.579;0.000;36.386;0.001;n;;;;
values;None;None;87;878;0;23;0;584.294;0.000;0.605;0.000;40.440;0.001;n;;;;
volume;None;None;87;878;0;20;0;584.294;0.000;0.526;0.000;40.440;0.001;n;;;;
world;None;None;127;628;0;23;0;417.923;0.000;0.605;0.000;28.923;0.001;n;;;;
year;None;None;59;1182;0;30;0;786.600;0.000;0.789;0.000;54.447;0.002;n;;;;
years;None;None;193;382;0;27;0;254.214;0.000;0.711;0.000;17.592;0.001;n;;;;
